Player,#,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Julián Álvarez,9,FW,22-321,102,33,31,2,0,1,0,0,0,0,0,0,0,27,0,1
   Lautaro Martínez,22,FW,25-118,18,8,6,2,0,0,0,0,0,0,0,0,0,6,0,0
Ángel Di María,11,LW,34-307,63,31,26,5,4,0,1,3,1,0,0,0,0,27,0,0
   Marcos Acuña,8,"LW,CM,LM",31-051,57,28,25,3,0,1,0,4,3,0,0,0,0,19,0,0
Lionel Messi,10,"RW,FW",35-177,120,60,50,9,2,1,0,6,0,6,3,3,0,47,1,2
Alexis Mac Allister,20,LM,23-359,115,53,52,0,0,0,0,0,0,0,0,0,0,44,1,1
   Germán Pezzella,6,CB,31-174,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Enzo Fernández,24,"CM,RM",21-335,120,91,90,1,1,0,1,0,0,0,0,0,0,77,0,2
Rodrigo De Paul,7,RM,28-208,101,70,65,4,4,0,0,2,0,0,0,0,0,60,1,0
   Leandro Paredes,5,CM,28-172,19,16,15,1,0,0,0,0,1,0,0,0,0,16,0,0
Nicolás Tagliafico,3,LB,30-109,119,54,43,10,1,0,0,0,9,0,0,0,0,41,1,1
   Paulo Dybala,21,"LW,LB",29-033,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Nicolás Otamendi,19,CB,34-309,120,74,74,0,0,0,1,0,0,0,0,0,0,68,0,0
Cristian Romero,13,CB,24-235,120,70,67,3,3,0,2,0,0,0,0,0,0,60,0,0
Nahuel Molina,26,RB,24-256,90,53,42,11,0,0,1,1,11,0,0,0,0,37,0,0
   Gonzalo Montiel,4,"RB,RM",25-351,30,12,11,1,0,0,0,1,1,0,0,0,0,7,0,2
Emiliano Martínez,23,GK,30-107,120,32,19,13,7,0,0,0,0,0,0,0,0,16,0,0
Olivier Giroud,9,FW,36-079,40,9,7,2,0,0,0,0,0,0,0,0,0,5,0,0
   Marcus Thuram,26,"LM,LW",25-134,80,20,20,0,0,0,0,1,0,0,0,0,0,12,0,1
Kylian Mbappé,10,"FW,LW",23-363,120,25,21,4,2,0,0,3,1,0,0,0,0,17,0,1
Ousmane Dembélé,11,RW,25-217,40,13,13,0,0,0,1,1,0,0,0,0,0,9,0,1
   Randal Kolo Muani,12,"FW,RW",24-013,80,19,18,1,0,0,0,1,0,0,0,0,0,12,0,1
Antoine Griezmann,7,AM,31-272,70,32,23,9,5,0,0,5,1,2,1,1,0,23,0,1
   Kingsley Coman,20,RM,26-188,50,15,9,6,2,0,0,7,1,3,2,1,0,6,0,0
Adrien Rabiot,14,"DM,CM",27-259,95,53,49,4,4,0,0,1,0,0,0,0,0,41,0,2
   Youssouf Fofana,13,CM,23-342,25,12,12,0,0,0,0,0,0,0,0,0,0,10,0,0
Aurélien Tchouaméni,8,"DM,CM",22-325,120,71,66,5,4,0,0,0,1,0,0,0,0,53,0,2
Theo Hernández,22,LB,25-073,70,50,39,10,1,0,0,3,9,0,0,0,0,38,1,1
   Eduardo Camavinga,25,LB,20-038,50,23,21,2,0,0,0,0,2,0,0,0,0,21,0,0
Dayot Upamecano,18,CB,24-052,120,68,65,1,1,0,2,0,0,0,0,0,0,55,2,0
Raphaël Varane,4,CB,29-237,112,64,61,3,2,0,0,0,1,0,0,0,0,57,0,0
   Ibrahima Konaté,24,CB,23-207,8,2,2,0,0,1,0,1,0,0,0,0,0,1,0,1
Jules Koundé,5,RB,24-036,119,69,62,6,1,0,0,1,5,0,0,0,0,53,1,5
   Axel Disasi,3,RB,24-282,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hugo Lloris,1,GK,35-357,120,41,22,19,6,0,0,0,0,0,0,0,0,23,0,0
