Player,#,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Julián Álvarez,9,FW,22-316,73,15,14,1,0,0,1,0,1,0,0,0,0,13,0,1
   Paulo Dybala,21,FW,29-028,17,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0
Lionel Messi,10,FW,35-172,90,42,38,4,1,0,1,2,0,2,1,1,0,35,0,2
Alexis Mac Allister,20,"LM,CM",23-354,85,36,36,0,0,0,0,0,0,0,0,0,0,30,0,0
   Ángel Correa,15,CM,27-279,5,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Enzo Fernández,24,CM,21-330,90,48,47,1,1,2,0,0,0,0,0,0,0,42,0,0
Leandro Paredes,5,CM,28-167,61,39,37,2,2,0,0,0,0,0,0,0,0,36,0,0
   Lisandro Martínez,25,CB,24-329,29,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0
Rodrigo De Paul,7,"RM,CM",28-203,73,42,40,2,0,0,0,1,2,0,0,0,0,34,0,0
   Exequiel Palacios,14,CM,24-069,17,15,15,0,0,0,0,0,0,0,0,0,0,14,0,0
Nicolás Tagliafico,3,LB,30-104,90,29,22,6,1,0,0,1,5,0,0,0,0,23,1,0
Nicolás Otamendi,19,CB,34-304,90,39,39,0,0,0,0,0,0,0,0,0,0,37,0,1
Cristian Romero,13,CB,24-230,90,33,32,1,0,0,0,0,1,0,0,0,0,28,0,1
Nahuel Molina,26,RB,24-251,85,40,31,9,0,0,0,2,9,0,0,0,0,27,0,2
   Juan Foyth,2,RB,24-335,5,4,3,1,0,0,0,0,1,0,0,0,0,3,0,0
Emiliano Martínez,23,GK,30-102,90,24,14,10,1,0,0,0,0,0,0,0,0,12,0,0
