Player,#,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Andrej Kramarić,9,"FW,AM",31-177,71,35,31,4,0,0,0,0,1,0,0,0,0,32,0,0
   Marko Livaja,14,AM,29-109,19,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0
Ivan Perišić,4,"LB,LW",33-314,90,55,44,11,0,0,0,5,11,0,0,0,0,39,0,0
Mario Pašalić,15,RW,27-307,45,13,13,0,0,0,0,0,0,0,0,0,0,9,0,2
   Nikola Vlašić,13,RW,25-070,45,13,13,0,0,0,0,2,0,0,0,0,0,11,0,1
Mateo Kovačić,8,"LM,DM",28-221,90,91,89,2,2,1,2,0,0,0,0,0,0,86,0,1
Marcelo Brozović,11,CM,30-027,49,50,50,0,0,0,0,1,0,0,0,0,0,47,0,0
   Bruno Petković,16,FW,28-088,41,11,10,1,0,0,0,0,0,0,0,0,0,8,0,1
Luka Modrić,10,"RM,DM",37-095,80,79,70,9,7,0,0,2,0,2,0,0,0,67,0,4
   Lovro Majer,7,DM,24-330,10,17,15,2,0,0,0,2,0,2,2,0,0,14,0,0
Borna Sosa,19,LB,24-326,45,33,33,0,0,0,0,3,0,0,0,0,0,25,0,1
   Mislav Oršić,18,LW,29-349,45,15,15,0,0,0,0,1,0,0,0,0,0,13,0,0
Joško Gvardiol,20,CB,20-324,90,64,64,0,0,0,0,0,0,0,0,0,0,60,0,0
Dejan Lovren,6,CB,33-161,90,75,71,4,4,0,2,0,0,0,0,0,0,66,0,0
Josip Juranović,22,RB,27-119,90,65,54,11,2,0,1,4,9,0,0,0,0,50,0,5
Dominik Livaković,1,GK,27-338,90,31,27,4,0,0,0,0,0,0,0,0,0,27,0,0
