Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Player,#,Pos,Age,Club,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Olivier Giroud,9,FW,36-079,1.itMilan,40,0,0,0,0,0,0,1,0,11,1,0,0,0.0,0.0,0.0,0,0,5,9,55.6,0,3,0,0,0
Marcus Thuram,26,"LM,LW",25-134,1.deGladbach,80,0,1,0,0,0,0,1,0,34,1,0,1,0.0,0.0,0.1,1,1,12,20,60.0,4,18,3,5,3
Kylian Mbappé,10,"FW,LW",23-363,1.frParis S-G,120,3,0,2,2,4,1,0,0,43,0,0,0,1.8,0.2,0.0,3,3,17,25,68.0,4,28,6,9,4
Ousmane Dembélé,11,RW,25-217,1.esBarcelona,40,0,0,0,0,0,0,0,0,16,0,0,1,0.0,0.0,0.0,0,0,9,13,69.2,0,7,1,1,0
Randal Kolo Muani,12,"FW,RW",24-013,1.deEint Frankfurt,80,0,0,0,0,2,1,0,0,34,3,0,0,0.4,0.4,0.0,1,1,12,19,63.2,1,18,1,5,1
Antoine Griezmann,7,AM,31-272,1.esAtlético Madrid,70,0,0,0,0,0,0,0,0,42,3,2,1,0.0,0.0,0.1,2,0,23,32,71.9,3,13,0,2,1
Kingsley Coman,20,RM,26-188,1.deBayern Munich,50,0,0,0,0,0,0,0,0,26,3,0,2,0.0,0.0,0.0,2,0,6,15,40.0,0,11,1,3,2
Adrien Rabiot,14,"DM,CM",27-259,1.itJuventus,95,0,0,0,0,1,1,1,0,67,2,3,1,0.1,0.1,0.0,1,0,41,53,77.4,2,33,1,0,0
Youssouf Fofana,13,CM,23-342,1.frMonaco,25,0,0,0,0,1,0,0,0,15,1,0,1,0.0,0.0,0.0,1,0,10,12,83.3,1,6,1,1,1
Aurélien Tchouaméni,8,"DM,CM",22-325,1.esReal Madrid,120,0,0,0,0,0,0,0,0,81,1,2,0,0.0,0.0,0.0,0,0,53,71,74.6,8,38,2,3,2
Theo Hernández,22,LB,25-073,1.itMilan,70,0,0,0,0,0,0,0,0,56,3,0,0,0.0,0.0,0.0,1,0,38,50,76.0,3,32,0,1,1
Eduardo Camavinga,25,LB,20-038,1.esReal Madrid,50,0,0,0,0,0,0,0,0,34,3,0,2,0.0,0.0,0.1,2,0,21,23,91.3,1,15,1,4,1
Dayot Upamecano,18,CB,24-052,1.deBayern Munich,120,0,0,0,0,0,0,0,0,74,1,0,2,0.0,0.0,0.0,0,0,55,68,80.9,4,52,1,0,0
Raphaël Varane,4,CB,29-237,1.engManchester Utd,112,0,0,0,0,0,0,0,0,70,0,1,1,0.0,0.0,0.0,0,0,57,64,89.1,0,51,3,0,0
Ibrahima Konaté,24,CB,23-207,1.engLiverpool,8,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.3,1,0,1,2,50.0,1,1,0,0,0
Jules Koundé,5,RB,24-036,1.esBarcelona,119,0,0,0,0,0,0,0,0,79,4,1,0,0.0,0.0,0.0,1,0,53,69,76.8,6,35,3,1,1
Axel Disasi,3,RB,24-282,1.frMonaco,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Hugo Lloris,1,GK,35-357,1.engTottenham,120,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,23,41,56.1,0,19,0,0,0
18 Players,,,,,"1,320",3,1,2,2,8,3,3,0,735,26,9,12,2.2,0.7,0.6,16,5,436,586,74.4,38,380,24,35,17
