Pass Types,Corner Kicks,Outcomes,,,,,,,,,,,,,,,,,
Player,#,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Marko Livaja,14,FW,29-113,65,13,13,0,0,1,0,0,0,0,0,0,0,9,0,0
   Bruno Petković,16,FW,28-092,25,12,12,0,0,0,0,0,0,0,0,0,0,4,0,1
Mislav Oršić,18,LW,29-353,89,28,26,2,0,1,0,2,1,1,1,0,0,20,0,1
   Kristijan Jakić,26,LW,25-217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lovro Majer,7,"RW,AM",24-334,65,32,29,2,1,0,0,3,0,1,1,0,0,23,1,1
   Mario Pašalić,15,AM,27-311,25,10,10,0,0,0,0,0,0,0,0,0,0,7,0,0
Andrej Kramarić,9,AM,31-181,60,17,17,0,0,0,0,1,0,0,0,0,0,13,0,1
   Nikola Vlašić,13,RW,25-074,30,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0
Mateo Kovačić,8,DM,28-225,90,69,67,2,0,0,1,0,0,0,0,0,0,62,0,0
Luka Modrić,10,DM,37-099,90,70,61,9,5,0,2,3,0,4,3,0,0,62,0,0
Ivan Perišić,4,LB,33-318,90,49,41,7,1,0,0,4,6,0,0,0,0,39,1,0
Joško Gvardiol,20,CB,20-328,90,66,66,0,0,0,0,0,0,0,0,0,0,60,0,0
Josip Šutalo,24,CB,22-292,90,66,66,0,0,0,1,0,0,0,0,0,0,62,0,0
Josip Stanišić,2,RB,22-259,90,49,40,9,2,0,1,1,7,0,0,0,0,36,0,4
Dominik Livaković,1,GK,27-342,90,33,18,15,3,0,0,0,0,0,0,0,0,30,0,
